# CoordinateSystem: PROJCS["NAD83(CSRS) / Alberta 3TM ref merid 114 W",GEOGCS["NAD83(CSRS)",DATUM["NAD83 Canadian Spatial Reference System",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[-0.991,1.9072,0.5129,0.025789907519493,0.009650098960270401,0.011659943232342,0],AUTHORITY["EPSG","6140"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4617"]],PROJECTION["Transverse_Mercator",AUTHORITY["EPSG","9807"]],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",-114],PARAMETER["scale_factor",0.9999],PARAMETER["false_easting",0],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","3780"]]
#Label,X/Easting,Y/Northing,Z/Altitude,X_est,Y_est,Z_est
stop sign ,-13120.7180000,5936242.6780000,755.7450000,-13120.7160059,5936242.6779510,755.7419286
csp,-12712.5100000,5936049.1490000,763.1640000,-12712.5105503,5936049.1484726,763.1645027
csp,-12769.5050000,5936489.0210000,762.2790000,-12769.5049827,5936489.0214727,762.2784320
community sign,-13120.0820000,5936433.4930000,755.9550000,-13120.0836465,5936433.4928853,755.9582790
keypad post,-12509.8050000,5937000.3920000,743.0660000,-12509.8049156,5937000.3920473,743.0660151
stop sign ahead,-13124.1990000,5937218.6300000,741.6060000,-13124.1990551,5937218.6301977,741.6061274
Jay Haven sign,-13119.2790000,5937003.3930000,749.3640000,-13119.2788255,5937003.3929651,749.3635374
end of road sign,-13957.9160000,5935786.2720000,748.8510000,-13957.9156602,5935786.2720766,748.8509201
telephone pole,-14267.9070000,5935350.3120000,744.8620000,-14267.9070961,5935350.3120362,744.8621808
yield sign,-14352.2510000,5935634.4670000,740.3290000,-14352.2512453,5935634.4669191,740.3292562
gate post ,-14633.8250000,5935330.5260000,746.7650000,-14633.8195390,5935330.4999527,746.6387366
Bowen Lake Estates sign,-14734.6910000,5935545.8460000,741.7620000,-14734.6908211,5935545.8463026,741.7634985
stop sign,-14777.8640000,5935902.4020000,740.4470000,-14777.8641349,5935902.4019388,740.4465397
stop sign,-14788.4940000,5934852.6730000,750.0050000,-14788.4945257,5934852.6722073,750.0052280
black and White Post,-14393.2770000,5934658.9140000,756.0190000,-14393.2830688,5934658.9218959,756.0251195
yield sign,-14335.5830000,5934716.0450000,753.9200000,-14335.5754655,5934716.0376878,753.9113885
telephone pole,-14418.8860000,5935015.7150000,751.8650000,-14418.8864587,5935015.7147737,751.8656920
pedestal,-14044.6050000,5934831.4950000,747.0820000,-14044.6056919,5934831.4951584,747.0825597
anchor,-13775.3920000,5934752.1920000,750.2530000,-13775.3918842,5934752.1920763,750.2532416
black and White Post,-13469.8280000,5934814.1670000,761.9770000,-13469.8277585,5934814.1668246,761.9756857
street sign,-13121.2630000,5934945.2060000,751.7150000,-13121.2625865,5934945.2073962,751.7189539
