#Label,X_est,Y_est,Z_est
telephone pole,-14267.9071,5935350.312,744.8621808
telephone pole,-14418.88646,5935015.715,751.865692
point 1,-13121.14948,5936878.238,752.6907782
point 2,-13111.78717,5937003.137,747.842311
point 3,-13066.59497,5937002.259,744.3298047
point 4,-12944.72929,5937001.724,755.6500277
point 5,-12856.63868,5937001.593,740.8418497
point 6,-12779.6906,5937001.32,751.513606
point 7,-12710.39167,5937001.124,740.2244454
point 8,-12654.27316,5937001.08,749.6060865
point 10,-12521.3276,5937000.377,752.0286731
point 11,-13122.64628,5937015.676,749.1570299
point 12,-13122.24757,5937091.678,747.2989237
point 13,-13121.5626,5937194.697,741.4771315
point 14,-13120.85771,5937268.687,739.7285489
point 15,-13120.46353,5937360.886,736.7131356
point 16,-13120.22779,5937394.736,735.6973988
point 17,-13119.79492,5937452.303,734.646761
point 18,-13121.47327,5936776.83,754.8072689
point 19,-13152.78174,5936777.628,765.0254081
point 20,-13122.20062,5936697.541,753.3205179
point 21,-13117.5522,5936683.253,753.0994835
point 22,-13118.58232,5936580.791,755.0042925
point 23,-13119.11659,5936469.87,753.7848812
point 24,-13119.15146,5936377.994,754.9620801
point 25,-13119.34294,5936255.483,756.5942924
point 26,-13119.90708,5936181.621,765.4901339
point 27,-13102.7148,5936461.354,764.6111108
point 28,-12979.53698,5936461.059,757.9647888
point 29,-12924.72653,5936460.865,756.9885937
point 30,-12922.98201,5936435.266,755.9201623
point 31,-12869.13155,5936468.995,755.8919458
point 32,-12802.28787,5936488.926,759.9406085
point 33,-12752.96534,5936499.364,762.6608
point 34,-12727.9692,5936487.637,763.5573864
point 35,-12695.84809,5936454.817,763.9148751
point 36,-12672.54667,5936430.883,764.111987
point 37,-12611.40422,5936368.217,764.4369526
point 38,-12586.1309,5936344.948,771.8535073
point 39,-12604.83258,5936215.702,762.0921806
point 40,-12639.87437,5936141.779,761.6587966
point 41,-12676.97815,5936063.68,759.8092491
point 42,-12745.97213,5936063.837,762.7965898
point 43,-12844.7713,5936064.609,765.5752875
